experiment_name,experiment_uuid,task_group_id,task_id,processing_time,experiment_operation,scheduled_time,task_response,optimal_time_reference_time,result_path,processing_time_min
LabwareRefillExperiment,54326bba-120b-4e49-87fc-693a5bb0f8b5,0,24,120,LabwareRefill,2024-12-11 07:00:00,success,2024-12-11 07:00:00,iPSsimulation/results/2024-11-13_real_round3/step_00000439/result.csv,120
IPSExperiment,iPS_Experiment_4,2,0,10,iPSGetImage,2024-12-11 16:06:00,success,2024-12-11 16:17:00,iPSsimulation/results/2024-11-13_real_round3/step_00000440/result.csv,10
IPSExperiment,iPS_Experiment_4,2,1,20,iPSMediumChange,2024-12-11 16:16:00,success,2024-12-11 16:33:00,iPSsimulation/results/2024-11-13_real_round3/step_00000441/result.csv,20
IPSExperiment,iPS_Experiment_2,1,0,10,iPSGetImage,2024-12-12 01:01:00,success,2024-12-12 01:12:00,iPSsimulation/results/2024-11-13_real_round3/step_00000442/result.csv,10
IPSExperiment,iPS_Experiment_2,1,1,60,iPSSampling,2024-12-12 01:11:00,success,2024-12-12 01:28:00,iPSsimulation/results/2024-11-13_real_round3/step_00000443/result.csv,60
IPSExperiment,iPS_Experiment_0,3,0,10,iPSGetImage,2024-12-12 06:30:00,success,2024-12-12 06:40:00,iPSsimulation/results/2024-11-13_real_round3/step_00000444/result.csv,10
IPSExperiment,iPS_Experiment_0,3,1,20,iPSMediumChange,2024-12-12 06:40:00,success,2024-12-12 06:57:00,iPSsimulation/results/2024-11-13_real_round3/step_00000445/result.csv,20
LabwareRefillExperiment,54326bba-120b-4e49-87fc-693a5bb0f8b5,0,25,120,LabwareRefill,2024-12-12 07:00:00,success,2024-12-12 07:00:00,iPSsimulation/results/2024-11-13_real_round3/step_00000446/result.csv,120
IPSExperiment,iPS_Experiment_4,2,2,10,iPSGetImage,2024-12-12 16:36:00,success,2024-12-12 16:46:00,iPSsimulation/results/2024-11-13_real_round3/step_00000448/result.csv,10
IPSExperiment,iPS_Experiment_0,1,0,10,iPSGetImage,2024-12-13 06:30:00,success,2024-12-13 06:41:00,iPSsimulation/results/2024-11-13_real_round3/step_00000449/result.csv,10
IPSExperiment,iPS_Experiment_0,1,1,20,iPSMediumChange,2024-12-13 06:40:00,success,2024-12-13 06:56:00,iPSsimulation/results/2024-11-13_real_round3/step_00000450/result.csv,20
LabwareRefillExperiment,54326bba-120b-4e49-87fc-693a5bb0f8b5,0,26,120,LabwareRefill,2024-12-13 07:00:00,success,2024-12-13 07:00:00,iPSsimulation/results/2024-11-13_real_round3/step_00000451/result.csv,120
IPSExperiment,iPS_Experiment_4,1,0,10,iPSGetImage,2024-12-13 16:36:00,success,2024-12-13 16:46:00,iPSsimulation/results/2024-11-13_real_round3/step_00000452/result.csv,10
IPSExperiment,iPS_Experiment_4,1,1,20,iPSMediumChange,2024-12-13 16:46:00,success,2024-12-13 17:02:00,iPSsimulation/results/2024-11-13_real_round3/step_00000453/result.csv,20
IPSExperiment,iPS_Experiment_0,1,0,10,iPSGetImage,2024-12-14 01:01:00,success,2024-12-14 01:11:00,iPSsimulation/results/2024-11-13_real_round3/step_00000454/result.csv,10
IPSExperiment,iPS_Experiment_0,1,1,60,iPSSampling,2024-12-14 01:11:00,success,2024-12-14 01:28:00,iPSsimulation/results/2024-11-13_real_round3/step_00000455/result.csv,60
LabwareRefillExperiment,54326bba-120b-4e49-87fc-693a5bb0f8b5,0,27,120,LabwareRefill,2024-12-14 07:00:00,success,2024-12-14 07:00:00,iPSsimulation/results/2024-11-13_real_round3/step_00000457/result.csv,120
IPSExperiment,iPS_Experiment_4,2,0,10,iPSGetImage,2024-12-14 16:47:00,success,2024-12-14 16:58:00,iPSsimulation/results/2024-11-13_real_round3/step_00000458/result.csv,10
IPSExperiment,iPS_Experiment_4,2,1,20,iPSMediumChange,2024-12-14 16:57:00,success,2024-12-14 17:13:00,iPSsimulation/results/2024-11-13_real_round3/step_00000459/result.csv,20
LabwareRefillExperiment,54326bba-120b-4e49-87fc-693a5bb0f8b5,0,28,120,LabwareRefill,2024-12-15 07:00:00,success,2024-12-15 07:00:00,iPSsimulation/results/2024-11-13_real_round3/step_00000460/result.csv,120
IPSExperiment,iPS_Experiment_4,1,0,10,iPSGetImage,2024-12-15 16:58:00,success,2024-12-15 17:08:00,iPSsimulation/results/2024-11-13_real_round3/step_00000461/result.csv,10
IPSExperiment,iPS_Experiment_4,1,1,20,iPSMediumChange,2024-12-15 17:08:00,success,2024-12-15 17:25:00,iPSsimulation/results/2024-11-13_real_round3/step_00000462/result.csv,20
LabwareRefillExperiment,54326bba-120b-4e49-87fc-693a5bb0f8b5,0,29,120,LabwareRefill,2024-12-16 07:00:00,success,2024-12-16 07:00:00,iPSsimulation/results/2024-11-13_real_round3/step_00000463/result.csv,120
IPSExperiment,iPS_Experiment_4,1,0,10,iPSGetImage,2024-12-16 17:09:00,success,2024-12-16 17:20:00,iPSsimulation/results/2024-11-13_real_round3/step_00000464/result.csv,10
IPSExperiment,iPS_Experiment_4,1,1,20,iPSMediumChange,2024-12-16 17:19:00,success,2024-12-16 17:35:00,iPSsimulation/results/2024-11-13_real_round3/step_00000465/result.csv,20
LabwareRefillExperiment,54326bba-120b-4e49-87fc-693a5bb0f8b5,0,30,120,LabwareRefill,2024-12-17 07:00:00,success,2024-12-17 07:00:00,iPSsimulation/results/2024-11-13_real_round3/step_00000466/result.csv,120
IPSExperiment,iPS_Experiment_4,1,0,10,iPSGetImage,2024-12-17 17:20:00,success,2024-12-17 17:31:00,iPSsimulation/results/2024-11-13_real_round3/step_00000467/result.csv,10
IPSExperiment,iPS_Experiment_4,1,1,20,iPSMediumChange,2024-12-17 17:30:00,success,2024-12-17 17:47:00,iPSsimulation/results/2024-11-13_real_round3/step_00000468/result.csv,20
LabwareRefillExperiment,54326bba-120b-4e49-87fc-693a5bb0f8b5,0,31,120,LabwareRefill,2024-12-18 07:00:00,success,2024-12-18 07:00:00,iPSsimulation/results/2024-11-13_real_round3/step_00000469/result.csv,120
IPSExperiment,iPS_Experiment_4,1,0,10,iPSGetImage,2024-12-18 17:31:00,success,2024-12-18 17:42:00,iPSsimulation/results/2024-11-13_real_round3/step_00000470/result.csv,10
IPSExperiment,iPS_Experiment_4,1,1,20,iPSMediumChange,2024-12-18 17:41:00,success,2024-12-18 17:42:00,iPSsimulation/results/2024-11-13_real_round3/step_00000471/result.csv,20
LabwareRefillExperiment,54326bba-120b-4e49-87fc-693a5bb0f8b5,0,32,120,LabwareRefill,2024-12-19 07:00:00,success,2024-12-19 07:00:00,iPSsimulation/results/2024-11-13_real_round3/step_00000472/result.csv,120
IPSExperiment,iPS_Experiment_4,1,0,10,iPSGetImage,2024-12-19 17:42:00,success,2024-12-19 17:52:00,iPSsimulation/results/2024-11-13_real_round3/step_00000473/result.csv,10
IPSExperiment,iPS_Experiment_4,1,1,20,iPSMediumChange,2024-12-19 17:52:00,success,2024-12-19 17:53:00,iPSsimulation/results/2024-11-13_real_round3/step_00000474/result.csv,20
IPSExperiment,iPS_Experiment_4,1,0,10,iPSGetImage,2024-12-20 01:01:00,success,2024-12-20 01:11:00,iPSsimulation/results/2024-11-13_real_round3/step_00000475/result.csv,10
IPSExperiment,iPS_Experiment_4,1,1,60,iPSSampling,2024-12-20 01:11:00,success,2024-12-20 01:28:00,iPSsimulation/results/2024-11-13_real_round3/step_00000476/result.csv,60
