experiment_name,experiment_uuid,task_group_id,task_id,processing_time,experiment_operation,scheduled_time,task_response,optimal_time_reference_time,result_path
IPSExperiment,iPS_Experiment_4,1,1,20,iPSMediumChange,28892395,success,28892412,iPSsimulation/results/2024-11-13_real_round3/step_00000403/result.csv
IPSExperiment,iPS_Experiment_2,1,0,10,iPSGetImage,28892413,success,28892424,iPSsimulation/results/2024-11-13_real_round3/step_00000404/result.csv
IPSExperiment,iPS_Experiment_2,1,1,20,iPSMediumChange,28892423,success,28892532,iPSsimulation/results/2024-11-13_real_round3/step_00000406/result.csv
IPSExperiment,iPS_Experiment_0,1,0,10,iPSGetImage,28892712,success,28892560,iPSsimulation/results/2024-11-13_real_round3/step_00000407/result.csv
IPSExperiment,iPS_Experiment_0,1,1,20,iPSMediumChange,28892722,success,28892564,iPSsimulation/results/2024-11-13_real_round3/step_00000408/result.csv
LabwareRefillExperiment,54326bba-120b-4e49-87fc-693a5bb0f8b5,0,20,120,LabwareRefill,28892580,success,28892580,iPSsimulation/results/2024-11-13_real_round3/step_00000409/result.csv
IPSExperiment,iPS_Experiment_4,1,0,10,iPSGetImage,28893836,success,28893910,iPSsimulation/results/2024-11-13_real_round3/step_00000410/result.csv
IPSExperiment,iPS_Experiment_4,1,1,20,iPSMediumChange,28893846,success,28893920,iPSsimulation/results/2024-11-13_real_round3/step_00000411/result.csv
IPSExperiment,iPS_Experiment_2,1,0,10,iPSGetImage,28893960,success,28893927,iPSsimulation/results/2024-11-13_real_round3/step_00000412/result.csv
IPSExperiment,iPS_Experiment_2,1,1,20,iPSMediumChange,28893970,success,28893934,iPSsimulation/results/2024-11-13_real_round3/step_00000413/result.csv
IPSExperiment,iPS_Experiment_0,1,0,10,iPSGetImage,28893990,success,28893943,iPSsimulation/results/2024-11-13_real_round3/step_00000414/result.csv
IPSExperiment,iPS_Experiment_0,1,1,20,iPSMediumChange,28894000,success,28893951,iPSsimulation/results/2024-11-13_real_round3/step_00000415/result.csv
LabwareRefillExperiment,54326bba-120b-4e49-87fc-693a5bb0f8b5,0,21,120,LabwareRefill,28894020,success,28892630,iPSsimulation/results/2024-11-13_real_round3/step_00000416/result.csv
IPSExperiment,iPS_Experiment_4,1,0,10,iPSGetImage,28895334,success,28893915,iPSsimulation/results/2024-11-13_real_round3/step_00000417/result.csv
IPSExperiment,iPS_Experiment_4,1,1,20,iPSMediumChange,28895344,success,28895363,iPSsimulation/results/2024-11-13_real_round3/step_00000418/result.csv
IPSExperiment,iPS_Experiment_2,1,0,10,iPSGetImage,28895367,success,28895372,iPSsimulation/results/2024-11-13_real_round3/step_00000419/result.csv
IPSExperiment,iPS_Experiment_2,1,1,20,iPSMediumChange,28895377,success,28895380,iPSsimulation/results/2024-11-13_real_round3/step_00000420/result.csv
IPSExperiment,iPS_Experiment_0,1,0,10,iPSGetImage,28895384,success,28895388,iPSsimulation/results/2024-11-13_real_round3/step_00000421/result.csv
IPSExperiment,iPS_Experiment_0,1,1,20,iPSMediumChange,28895394,success,28895394,iPSsimulation/results/2024-11-13_real_round3/step_00000422/result.csv
LabwareRefillExperiment,54326bba-120b-4e49-87fc-693a5bb0f8b5,0,22,120,LabwareRefill,28895460,success,28895460,iPSsimulation/results/2024-11-13_real_round3/step_00000423/result.csv
IPSExperiment,iPS_Experiment_4,1,0,10,iPSGetImage,28896810,success,28896822,iPSsimulation/results/2024-11-13_real_round3/step_00000425/result.csv
IPSExperiment,iPS_Experiment_4,1,1,20,iPSMediumChange,28896820,success,28896839,iPSsimulation/results/2024-11-13_real_round3/step_00000426/result.csv
IPSExperiment,iPS_Experiment_2,1,0,10,iPSGetImage,28896839,success,28896850,iPSsimulation/results/2024-11-13_real_round3/step_00000427/result.csv
IPSExperiment,iPS_Experiment_2,1,1,20,iPSMediumChange,28896849,success,28896866,iPSsimulation/results/2024-11-13_real_round3/step_00000428/result.csv
IPSExperiment,iPS_Experiment_0,1,0,10,iPSGetImage,28896866,success,28896878,iPSsimulation/results/2024-11-13_real_round3/step_00000429/result.csv
IPSExperiment,iPS_Experiment_0,1,1,20,iPSMediumChange,28896876,success,28896894,iPSsimulation/results/2024-11-13_real_round3/step_00000430/result.csv
LabwareRefillExperiment,54326bba-120b-4e49-87fc-693a5bb0f8b5,0,23,120,LabwareRefill,28896900,success,28896900,iPSsimulation/results/2024-11-13_real_round3/step_00000431/result.csv
IPSExperiment,iPS_Experiment_4,1,0,20,iPSPlateCoating,28897355,success,28897371,iPSsimulation/results/2024-11-13_real_round3/step_00000432/result.csv
IPSExperiment,iPS_Experiment_4,1,1,10,iPSGetImage,28897435,success,28897446,iPSsimulation/results/2024-11-13_real_round3/step_00000433/result.csv
IPSExperiment,iPS_Experiment_4,1,2,80,iPSPassage,28897445,success,28897522,iPSsimulation/results/2024-11-13_real_round3/step_00000434/result.csv
IPSExperiment,iPS_Experiment_2,1,0,10,iPSGetImage,28898275,success,28898285,iPSsimulation/results/2024-11-13_real_round3/step_00000435/result.csv
IPSExperiment,iPS_Experiment_2,1,1,20,iPSMediumChange,28898285,success,28898302,iPSsimulation/results/2024-11-13_real_round3/step_00000436/result.csv
